Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Wild Whatcom,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,R+E by month,,,,,,,,
,,,,,,Fiscal year 2024,,,,,,,,
,,,,,,,,,,,,,,
Revenue,Total,Sept,Oct,Nov,Dec,Jan,Feb,March,April,May,June,July,Aug,Annual
In-Kind Contributions,0,0,0,0,0,0,0,0,0,0,0,0,0,
Contributions,93045.34,15545.34,2000,4000,21500,16000,2000,2000,4000,7000,10000,4000,5000,
Grants,158676.8,63676.8,0,0,10000,8000,0,10000,5000,10000,31000,10000,11000,
Earned Revenue,642868.94,239768.94,16700,24700,31200,28700,157800,48000,38000,36500,9500,8000,4000,
Contracts,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fundraising events,8556,556,0,600,600,0,500,0,500,3000,500,1000,1300,
Sponsorships,27075,1875,0,5000,10000,0,0,2000,5000,3000,200,0,0,
Other Revenue,6569.35,469.35,500,500,700,600,600,700,500,500,500,500,500,
Total Revenue,936791.43,321891.43,19200,34800,74000,53300,160900,62700,53000,60000,51700,23500,21800,1873582.86
Expenses,,,,,,,,,,,,,,
Salaries & Wages,704543.02,58943.02,56500,57300,57300,57300,57300,57300,57300,57300,54000,78000,56000,
Payroll Taxes,70275.13,5715.13,5650,5730,5730,5730,5730,5730,5730,5730,5400,7800,5600,
Health Stipends,3000,300,300,300,300,300,200,200,200,200,200,200,300,
Benefits,35196.36,3309.36,3309,2857.8,2857.8,2857.8,2857.8,2857.8,2857.8,2857.8,2857.8,2857.8,2857.8,
Other personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,
Accounting,8400,500,500,500,2000,1000,500,900,500,500,500,500,500,
Other Contractors,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Insurance - Liability, D & O",14306,306,0,0,0,0,2000,6000,6000,0,0,0,0,
Regpack Subscription,1700,0,0,0,1700,0,0,0,0,0,0,0,0,
Stripe,1570.31,45.31,75,75,500,225,75,75,400,25,25,25,25,
Appreciation,3350,0,150,150,1600,150,150,150,150,150,300,300,100,
Non Traditional benefits,650,0,0,0,0,100,0,300,0,0,250,0,0,
Professional Development,2265,515,400,0,400,0,400,0,400,0,150,0,0,
Board Development,400,0,0,0,100,100,100,0,100,0,0,0,0,
Licensing Fees,540,0,0,150,65,0,0,150,125,0,50,0,0,
Blue Snap Fees,23783.8,803.8,640,960,1220,1600,6280,1880,1480,1420,3000,1500,3000,
Paypal Processing Fee,185.85,5.85,20,20,20,20,20,0,20,20,0,20,20,
QuickBooks Fee,2500,0,0,0,0,0,0,0,2500,0,0,0,0,
Rent,34117.31,2737.31,2730,2730,2880,2880,2880,2880,2880,2880,2880,2880,2880,
,2160,180,180,180,180,180,180,180,180,180,180,180,180,
Office Supplies,1400,0,200,100,100,100,100,200,100,200,100,100,100,
IT Support & Telephone,2004.95,79.95,175,175,175,175,175,175,175,175,175,175,175,
"Software, Hardware & Equipment",2639.81,109.81,230,230,230,230,230,230,230,230,230,230,230,
Food,4556.35,258.35,436,478,356,200,273,215,1112,438,590,0,200,
Fuel,3919.19,370.19,300,300,390,243,147,436,456,375,322,280,300,
Gear,2645.47,100.47,250,293,194,232,150,26,525,225,225,225,200,
Lodging,1380,1380,0,0,0,0,0,0,0,0,0,0,0,
Permits & Fees,5013.46,1802.46,100,36,700,2,800,532,600,100,10,331,0,
Supplies,3991.76,5.76,626,339,187,96,339,223,800,200,200,226,750,
Transport,1100,0,100,100,100,100,100,100,100,100,100,100,100,
First Aid,2104.16,20.69,0,321.47,700,0,12,0,200,200,0,0,650,
Postage,2688,0,200,400,1200,37,78,63,500,210,0,0,0,
Printing & Copying,2431.22,133.17,0,26.05,800,37,100,33,900,43,150,109,100,
Outreach & Marketing,4435.31,94.31,271,600,245,104,453,888,300,400,230,300,550,
SWAG,0,0,0,0,0,0,0,0,0,0,0,0,0,
Advertising,0,0,0,0,0,0,0,0,0,0,0,0,0,
City of Bellingham,0,0,0,0,0,0,0,0,0,0,0,0,0,
WA Dept of Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,
 Transportation/Standard Maintenance ,7855.17,655.17,700,700,700,700,700,600,700,400,700,700,600,
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total Expenses,957107.63,78371.11,74042,75051.32,82929.8,74698.8,82329.8,82323.8,87520.8,74558.8,72824.8,97038.8,75417.8,1914215.26
,,,,,,,,,,,,,,
Monthly Net Income,-20316.2,243520.32,-54842,-40251.32,-8929.8,-21398.8,78570.2,-19623.8,-34520.8,-14558.8,-21124.8,-73538.8,-53617.8,-20316.2
WECU Checking,90235,333755.32,278913.32,238662,229732.2,208333.4,286903.6,267279.8,282759,268200.2,247075.4,173536.6,119918.8,
,,,,,,,,,,,,,,
WECU Savings,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,
Amount Reserves avaible in WECU Savings,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,0.2480292013,
CD#1,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,
CD #2,50000,50000,50000,50000,50000,50000,50000,50000,0,,,,,
Total ORG Funds,260235,503755.32,448913.32,408662,399732.2,378333.4,456903.6,437279.8,402759,388200.2,367075.4,293536.6,239918.8,
Reserves NOT in CD ,,289766.29,234924.29,194672.97,185743.17,164344.37,242914.57,223290.77,238769.97,224211.17,203086.37,129547.57,75929.77,
Reserves each month,196245.97,439766.29,384924.29,344672.97,335743.17,314344.37,392914.57,373290.77,338769.97,324211.17,303086.37,229547.57,175929.77,
months/reserve,2.43373656,5.453744083,4.773623211,4.274448073,4.163705515,3.898329151,4.872714349,4.629350577,4.201242254,4.020691877,3.758713514,2.846725022,2.181786017,
